Player,Tm,MP,3PA,3P%,2PA,2P%,FTA,FT%,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,TS%,USG%,DBPM,G
Glenn Robinson,IND,527,4.5,0.354,8.5,0.473,2.9,0.774,1.8,6.4,1.6,1.1,0.9,1.1,2.6,15,0.527,13.8,-0.6,
Tyson Chandler,PHO,528,0,,7.9,0.693,3.1,0.706,5.5,14.7,0.9,1.4,0.8,2.7,5.3,13.2,0.709,10.6,0.6,
Jahlil Okafor,PHI,529,0,,20.3,0.509,6.3,0.612,3.6,7.2,2.3,0.8,2.5,3.1,5.3,24.5,0.532,23.3,0.3,
Ed Davis,POR,530,0,,8.4,0.473,4.3,0.681,5.9,8.5,1.6,1,1.8,2.3,8.1,10.9,0.528,11.2,0.1,
Malcolm Brogdon,MIL,533,5.2,0.429,10.7,0.4,2.7,0.897,1,4,6.7,2.1,0.2,3.1,3.6,17.8,0.517,18,-1,
Nikola Mirotic,CHI,538,10.3,0.284,6.8,0.528,5,0.736,1.3,11.6,2.2,1.7,1.6,2.7,3.1,19.6,0.509,18.8,0.6,
Arron Afflalo,SAC,539,4.2,0.311,9.6,0.447,3.4,0.917,0.5,4.3,2.2,0.7,0.1,0.5,3.2,15.6,0.51,13.9,-1.9,
Iman Shumpert,CLE,541,6.5,0.429,4.8,0.538,2.6,0.857,1.2,5.1,4,1.9,0.6,3.4,4.9,15.7,0.633,14,0.8,
Jusuf Nurkic,DEN,544,0,,18.7,0.524,6.1,0.5,6.1,10.7,3.3,1.5,2.3,5.6,5.2,22.6,0.53,23.1,1.7,
Buddy Hield,NOP,545,10.9,0.336,11.1,0.435,1.3,0.867,0.8,5.7,3.1,0.6,0.4,2.2,3.2,21.9,0.483,22.6,-2.7,
Kosta Koufos,SAC,545,0.1,0,12.7,0.547,2.1,0.478,5.4,9.9,1.4,1.2,1.6,2.5,5.7,14.9,0.543,14.3,0.8,
Vince Carter,MEM,549,9.3,0.283,6.5,0.522,3.6,0.737,1.2,6.8,3.9,1.6,0.7,1.6,4.9,17.3,0.498,16.6,1.1,
Al Horford,BOS,554,6.1,0.338,13.4,0.541,4,0.841,1.8,8,8.3,1.1,3.5,2.3,3.2,24,0.565,21.1,2.9,
Dante Exum,UTA,556,6.5,0.279,8.9,0.489,2.8,0.833,1.4,4.2,4.5,0.6,0.8,2.7,6.5,16.5,0.497,17.4,-0.6,
Nikola Jokic,DEN,564,2.2,0.269,13.9,0.602,5.2,0.817,4.9,10,6.4,1.3,1.3,2.9,6.6,22.8,0.619,18.3,1.7,
Dwight Powell,DAL,566,0.8,0.111,13.8,0.527,4.7,0.784,3.5,8.1,2.3,3.1,1.2,1.2,4.9,18.5,0.555,16.1,2.8,
Cory Joseph,TOR,567,3.2,0.361,14.3,0.481,4.2,0.787,1.4,4.8,6.3,1.8,0.3,2.2,3.8,20.5,0.531,19,-1,
Dorian Finney-Smith,DAL,568,6.8,0.356,4.6,0.52,2.1,0.783,1.6,4.9,2.5,1.3,0.8,1.6,4.3,13.7,0.556,12.5,0.7,
DeMarre Carroll,TOR,570,9.2,0.356,6.4,0.542,3.6,0.7,1.3,5.2,2,2,0.8,0.8,4.1,19.3,0.56,15.8,-0.5,
Alex Len,PHO,571,0.2,0,13.5,0.488,7.5,0.722,4.8,11.3,1.6,1,3.3,2.9,7.8,18.6,0.548,17.6,1.8,
Deron Williams,DAL,577,8.2,0.3,11.9,0.454,4.6,0.94,0.3,3.6,11.4,0.9,0.2,3.5,4.1,22.4,0.508,23,-3.1,
Domantas Sabonis,OKC,578,5.2,0.435,8.4,0.45,0.5,0.5,0.9,6.9,3,1.4,1,2.6,6.1,14.7,0.528,14.5,0.5,
Jae Crowder,BOS,581,8.8,0.402,7.4,0.57,3.2,0.865,0.9,7.3,4,1.9,0.6,2,4.1,21.8,0.619,17.5,0.3,
Darren Collison,SAC,583,4.7,0.389,11.8,0.478,5.5,0.825,0.7,2.7,7.5,1.9,0.1,3.3,2.7,21.2,0.563,19.5,-2.2,
Mike Muscala,ATL,583,3.8,0.435,10,0.575,3,0.75,2.8,6.1,3.8,1.1,1.7,2.5,3.8,18.8,0.619,15.7,1.1,
James Johnson,MIA,584,6.1,0.329,10.2,0.59,4.5,0.745,1.9,7.7,4.4,1.3,1.9,3.7,5.1,21.4,0.585,19.1,1.5,
